,anger_percent,sadness_percent,joy_percent,Counts
-1,0.485609430127011,0.5105624750399237,0.4136964060002762,139
0,0.1483490472151645,0.18502509820877946,0.2807166760819978,4382
1,1.0,1.0,0.0,13
2,0.0,0.666220238095238,0.3337797619047619,8
3,0.5317460317460317,0.8531746031746033,0.0,4
4,1.0,0.0,0.0,8
5,0.5,0.0,0.48461538461538467,5
6,0.010526315789473684,0.6677944862155388,0.6926065162907269,5
7,0.0,0.9968253968253968,0.0,15
8,0.8729978354978355,0.8396645021645022,0.00625,4
9,0.4979423868312757,0.4979423868312757,0.5020576131687243,9
10,0.5791276737967914,0.0833890374331551,0.5938335561497327,4
11,0.6640151515151514,0.6765151515151514,0.03068181818181818,4
