date,anger_percent_weighted,sadness_percent_weighted,joy_percent_weighted
"August  5, 2016",0.25867772446,0.212329755908,0.0829146079627
"August 12, 2016",0.133698283218,0.102539556969,0.225009225329
"August 19, 2016",0.10506397104,0.276770331878,0.118741055564
"August 26, 2016",0.184053898464,0.0654243790005,0.0157208557641
"July  1, 2016",0.179230413496,0.212269535757,0.0990988366159
"July  8, 2016",0.283214224576,0.163184194299,0.0544126616285
"July 15, 2016",0.203213218618,0.0892117901336,0.0358324029927
"July 22, 2016",0.149118385022,0.153276699991,0.0912620771416
"July 29, 2016",0.0770102746966,0.0642347766967,0.392238069844
"June  3, 2016",0.213815914872,0.153654498326,0.11480259591
"June 10, 2016",0.377924893246,0.446984654176,0.134377196576
"June 17, 2016",0.286666578749,0.205219726441,0.226177459027
"June 24, 2016",0.203656966946,0.187377032612,0.0729024666609
"November  4, 2016",0.217237472155,0.098918373455,0.136467656151
"November 11, 2016",0.162718897935,0.193494634008,0.243494690777
"November 18, 2016",0.264919245859,0.230987396446,0.15683158105
"October  7, 2016",0.200658452878,0.134757078228,0.0569548490047
"October 14, 2016",0.164300597282,0.0855246187578,0.165476946979
"October 21, 2016",0.0994896284626,0.130602635917,0.30097647076
"October 28, 2016",0.109633673932,0.174435743236,0.0891546087624
"September  2, 2016",0.115600746195,0.119263533139,0.162148182838
"September  9, 2016",0.260401109928,0.112281457999,0.141978586149
"September 16, 2016",0.0955008186019,0.0857998545278,0.204567006298
"September 23, 2016",0.218082034368,0.187872667962,0.262537440303
"September 30, 2016",0.21819653846,0.14136530107,0.122857697659
"August  8, 2016",0.19548324072,0.24861284319,0.136480694854
"August 15, 2016",0.175442082104,0.141585263386,0.0684013119802
"August 22, 2016",0.187141264417,0.117015754156,0.107275386517
"August 29, 2016",0.0476916783341,0.195994683779,0.08283618897
"July  4, 2016",0.0622527207189,0.0548494334351,0.204488970525
"July 11, 2016",0.173578171061,0.213342071187,0.0933784515732
"July 18, 2016",0.135143149378,0.235471350765,0.109093160802
"July 25, 2016",0.260373396546,0.15513234268,0.0805804514934
"June  6, 2016",0.303082798129,0.276463047526,0.045686107283
"June 13, 2016",0.358055248755,0.270316147973,0.0513059262046
"June 20, 2016",0.235370763963,0.178794978784,0.249831033885
"June 27, 2016",0.141828202808,0.181921524865,0.0888256086615
"November  7, 2016",0.230937892219,0.235734087585,0.186270268464
"November 14, 2016",0.256714391775,0.261332189979,0.279665240537
"October  3, 2016",0.233244318333,0.205262263119,0.171013097051
"October 10, 2016",0.12535643643,0.129711037021,0.147500568384
"October 17, 2016",0.201731465722,0.0653617651922,0.100216614219
"October 24, 2016",0.0795654268525,0.156272466032,0.253697106181
"October 31, 2016",0.151260720723,0.112740786182,0.29029795062
"September  5, 2016",0.170631907832,0.0536979019963,0.223001137243
"September 12, 2016",0.161052457342,0.10929849074,0.140371328322
"September 19, 2016",0.31032818404,0.275563395492,0.0422399399118
"September 26, 2016",0.197838714577,0.239985707679,0.0614722667623
"August  6, 2016",0.104219398553,0.115873449125,0.143055214135
"August 13, 2016",0.346800029376,0.22621866075,0.0826129394555
"August 20, 2016",0.259804671393,0.235791292715,0.106068905508
"August 27, 2016",0.110661114348,0.0934850512423,0.243825888529
"July  2, 2016",0.167254477464,0.165973300528,0.259370140542
"July  9, 2016",0.184007601562,0.0418911282177,0.188750056564
"July 16, 2016",0.249552338735,0.21010599515,0.0249011416507
"July 23, 2016",0.221156544511,0.0837254061452,0.153399501811
"July 30, 2016",0.450044208665,0.240274093722,0.122789566755
"June  4, 2016",0.385247738993,0.223213786319,0.158707446744
"June 11, 2016",0.450915858608,0.362601172438,0.05632104771
"June 18, 2016",0.139082347683,0.226654201406,0.163460491201
"June 25, 2016",0.204053947957,0.21098072365,0.148067959666
"November  5, 2016",0.339890933998,0.448277564976,0.221873913171
"November 12, 2016",0.0911090577416,0.167157259357,0.0713149529421
"November 19, 2016",0.357846921499,0.485432700144,0.159980458382
"October  1, 2016",0.237968648206,0.261767396364,0.112561568781
"October  8, 2016",0.259971000727,0.149944346684,0.130083713066
"October 15, 2016",0.284397835392,0.198916921745,0.0531419916297
"October 22, 2016",0.284718964843,0.211297580663,0.176345899661
"October 29, 2016",0.170699930921,0.13525005643,0.138970664267
"September  3, 2016",0.0609957769525,0.100669649913,0.0819946846575
"September 10, 2016",0.0857693428016,0.0326285836975,0.420407493191
"September 17, 2016",0.402112625638,0.188586737161,0.100701598004
"September 24, 2016",0.171041900913,0.174080483352,0.0350721373525
"August  7, 2016",0.247538017228,0.187234428822,0.0924350135921
"August 14, 2016",0.197953997269,0.247125052928,0.0341227460101
"August 21, 2016",0.159816276928,0.099051477057,0.0778780892124
"August 28, 2016",0.14320828485,0.150865934122,0.326523234966
"July  3, 2016",0.16334312946,0.11234913879,0.0824353051244
"July 10, 2016",0.299028031086,0.309903748782,0.0295671939152
"July 17, 2016",0.165961299496,0.118869707381,0.0947605833937
"July 24, 2016",0.0803897884565,0.119004303566,0.122051819731
"July 31, 2016",0.212046749267,0.157882458657,0.0565783637757
"June  5, 2016",0.191034218685,0.0795554380498,0.0964670957392
"June 12, 2016",0.296862512422,0.204227429002,0.12867039892
"June 19, 2016",0.357865573941,0.193143321346,0.127309043914
"June 26, 2016",0.164916178849,0.208395460145,0.239142676115
"November  6, 2016",0.17150111999,0.221343389963,0.34036198646
"November 13, 2016",0.235316261489,0.129096725775,0.124437600086
"November 20, 2016",0.208482947544,0.195754068926,0.134857588093
"October  2, 2016",0.203816439632,0.344198237362,0.0963735252073
